Node_ID,Node_Label,UX,UY,RZ
0,A,0.0,0.0,9.62165994683809e-09
1,B,0.0,0.0,2.312401230794276e-08
2,C,-2.1153610576612812e-07,0.0,-3.58558742833431e-08
3,D,-6.470721463415239e-08,9.894064136266481e-09,2.9287091081938105e-08
4,E,-6.627547438497102e-08,1.8961871727467017e-08,3.4585811728427475e-09
5,F,-6.811260863275573e-08,9.894064136266486e-09,-3.58558742833431e-08
6,G,-6.634414287445207e-08,1.4831897341331532e-08,3.689625740561073e-08
7,H,-6.460107929132142e-08,3.1594043848083224e-08,-7.681287951402894e-10
8,I,-6.276394504353672e-08,1.4824058810585227e-08,-3.571099180319272e-08
