Node_ID,Node_Label,UX,UY,RZ
0,A,0.0,0.0,1.6416710378409747e-08
1,B,0.0,0.0,3.9453450869783406e-08
2,C,-3.609161440016432e-07,0.0,-6.117668856252223e-08
3,D,-1.1040354843626799e-07,1.658188358193162e-08,4.996924057038149e-08
4,E,-1.1307709655650454e-07,4.183623283613673e-08,5.900920677811602e-09
5,F,-1.162093897515543e-07,1.6581883581931634e-08,-6.117668856252223e-08
6,G,-1.1319208998622938e-07,2.4856438172541056e-08,6.286726144412715e-08
7,H,-1.102202971531753e-07,6.280049750559621e-08,-1.3105568046391303e-09
8,I,-1.0708800395812555e-07,2.4843064321862716e-08,-6.084499914855736e-08
